run_name,fold_size,n_folds,one_out_mean,one_out_std,one_gap_mean,one_gap_std,two_out_mean,two_out_std,two_gap_mean,two_gap_std
task_1_3_16fold_100scen,100,16,837517.4595625097,1580.093108854264,-1.4551915228366852e-11,25281.489741668607,768685.2205037131,1480.1308758057835,267.40841310944234,23761.741940285203
task_1_3_8fold_200scen,200,8,837517.4595625098,2542.1382713848634,-2.9103830456733704e-11,20337.106171079075,768756.6556973222,2306.8225688083717,122.58095398260048,18421.850061705623
task_1_3_4fold_400scen,400,4,837517.4595625097,382.12880303131067,2.9103830456733704e-11,1528.5152121252574,768806.3540817685,243.57032694507254,32.05958058775286,979.9822079298166
task_1_3_2fold_800scen,800,2,837517.4595625097,366.63916674850043,0.0,733.2783334970009,768821.1741076839,308.26394098519813,4.50609717349289,616.8024417739944
