Reliability,Bid,Expected Shortfall
0.8,314.428,7.0626765
0.81,311.5507,6.474344000000001
0.8200000000000001,310.0372,6.188671999999997
0.8300000000000001,303.7787,5.082632500000002
0.8400000000000001,303.4883,5.031812499999996
0.8500000000000001,298.8981,4.297826999999999
0.8600000000000001,295.3322,3.769541499999999
0.8700000000000001,292.2239,3.3188380000000017
0.8800000000000001,284.5603,2.2577729999999976
0.8900000000000001,282.303,2.0114479999999997
0.9000000000000001,280.3552,1.816668000000002
0.9100000000000001,278.9738,1.6831774999999982
0.9200000000000002,275.2713,1.3314399999999995
0.9300000000000002,273.8605,1.202073
0.9400000000000002,273.3774,1.1628625000000015
0.9500000000000002,265.8739,0.6505239999999993
0.9600000000000002,257.8619,0.32258849999999983
0.9700000000000002,254.0418,0.236999
0.9800000000000002,243.1958,0.08654799999999994
0.9900000000000002,235.9915,0.03911000000000001
1.0000000000000002,235.9915,0.03911000000000001
